INDEX,VILLAGES

V18,"Kanniyampatti, Tamil Nadu 625529"
V19,"A.Pudupatti, Pottulupatti, Tamil Nadu 625529"
V20,"Kattakaruppanpatti, Tamil Nadu"
V21,"Uchapatti, Tamil Nadu 625529"
V22,"Ariyapatti, Tamil Nadu 625529"
V23,"Naattamangalam, Tamil Nadu 625529"
V24,"Puthur, Sikkampatti, Tamil Nadu 625532"
V25,"Kuppanampatti, Tamil Nadu"
V26,"Valandur, Tamil Nadu"
V27,"Chellampatty, Tamil Nadu"
V28,"Kannanur, Tamil Nadu 625514"
V29,"Checkanurani, Tamil Nadu 625514"
V30,"Vadapalanji, Tamil Nadu"
V31,"Nagamalai Puthukottai, Tamil Nadu 625019"
V32,"Kallandhiri, Tamil Nadu 625301"
V33,"Mathur, Tamil Nadu 625301"
V34,"Arumbanur, Tamil Nadu 625104"
V35,"Pudupatti, Tamil Nadu 625107"
V36,"Otthakadai, Tamil Nadu 625107"
V37,"Uthangudi, Tamil Nadu"
V38,"Sukkampatti, Tamil Nadu 625101"
V39,"Vanjipatti, Tamil Nadu 625101"
V40,"Vanjinagaram, Tamil Nadu 625101"
V41,"Kachirayanpatti, Tamil Nadu 625105"
V42,"Kottampatty, Tamil Nadu 625103"
V43,"Attappatti, Tamil Nadu 625108"
V44,"Thumbaipatti, Tamil Nadu"
V45,"Soorakkundu, Tamil Nadu 625106"
V47,"Pungankulam, Tamil Nadu 625706"
V48,"Urappanur, Tamil Nadu"
V49,"Mela Urapanur, Tamil Nadu 625706"
V50,"Kannan Temple, MDR954, Urappanur, Tamil Nadu 625706"
V51,"Karadikal, Tamil Nadu"
V52,"Govt Kallar Ele. School Sorikkampatti, Sorikkampatti,, Tamil Nadu"
V53,"K.Pudupatti, Madurai, Tamil Nadu"
V54,"Thenpalanji, Tamil Nadu 625021"
V55,"Panchayat Union Elementry School Vedar Puliyankulam, Veder Puliangulam, Tamil Nadu 625006"
V56,"Ambattaiyanpatti, Tamil Nadu 625529"
V57,"Poruppu Mettupatti, Tamil Nadu 625529"
V58,"P. Vagaikulam, Tamil Nadu"
V59,"C.Vagaikulam, Tamil Nadu"
V60,"Alagusirai, Tamil Nadu 625706"
V61,"Karadipatti, Tamil Nadu"
V62,"Karumathur, Tamil Nadu 625514"
V63,"Poosaaripatty, Tamil Nadu 625514"
V64,"Poochampatti, Tamil Nadu 625218"
V65,"Ramarajapuram, Tamil Nadu 624219"
V66,"Thethoor, Tamil Nadu"
V67,"Vaigasipatti, Tamil Nadu 625501"
V68,"Kalvelipatti, Tamil Nadu"
V69,"Alanganallur, Vadipatti, Madurai, Tamil Nadu, India"
V70,"Siruvalai, Madurai, Tamil Nadu"
V71,"Oththavidu, Tamil Nadu 625501"
V72,"Kallanai, Tamil Nadu 625501"
V73,"Sivarakottai, Tamil Nadu"
V74,"Maruthangudi, Tamil Nadu 625701"
V75,"Mochikulam, Tamil Nadu"
V76,"Thirumal, Paraikulam, Tamil Nadu 625706"
V77,"Paraikulam, Tamil Nadu 625706"
V78,"Veeraperumalpuram, Tamil Nadu 625706"
V79,"Thoombakulam, Tamil Nadu 625706"
V80,"Kallanai, Tamil Nadu 625706"
V81,"Sathangudi, Tamil Nadu 625706"
V82,"Kangayanatham, Tamil Nadu 625706"
V83,"Pannikundu, Tamil Nadu 625706"
V84,"Thangalacheri, Tamil Nadu 625706"
V85,"Sedapatti, Tamil Nadu 625527"
V86,"Kunnathur, Tamil Nadu 625708"
V87,"Kilavaneri, Tamil Nadu 625706"
V88,"Tirali, Tamil Nadu 625706"
V89,"Tirumangalam, Tamil Nadu 625706"
V90,"Kappalur, Madurai, Tamil Nadu"
V91,"Thoppur, Tamil Nadu 625008"
V92,"Thiruparankundram, Tamil Nadu"
V93,"Pykara, Madurai, Tamil Nadu 625004"
V94,"Ulagani, Tamil Nadu 625706"
V95,"Melaupplikundu, Tamil Nadu"
V96,"Periya Koodakoil, Tamil Nadu"
V97,"Solankuruni, Tamil Nadu 625022"
V98,"Nallur, Tamil Nadu 625022"
V99,"Kusavakundu, Tamil Nadu 625022"
V100,"Perungudi, madurai"
V101,"Chinthamani, Tamil Nadu"
V102,"A.Andipatti, Tamil Nadu 625537"
V103,"Ayyanarkulam, Tamil Nadu 625537"
