VILLAGES
"Kottampatty, Tamil Nadu 625103"
"Pallapatti, Tamil Nadu 625103"
"Manappacheri, Tamil Nadu 625103"
"Sekkipatty, Tamil Nadu 625101"
"Pattur, Tamil Nadu 625101"
"Melavalavu, Tamil Nadu 625105"
"A.Vellalapatti, Tamil Nadu"
"Kidaripatti, Tamil Nadu 625301"
"pt,union ele,school,ulaipatti 625535, Soolappuram, Tamil Nadu 625535"
"Mallapuram, Tamil Nadu 625535"
"Soolappuram, Tamil Nadu 625535"
"Elumalai, Tamil Nadu 625535"
"Uthapuram, Tamil Nadu 625535"
"MDSPL4 E.KOTTAIPATTI PACCS, Ammapatti, E. (post) Peraiyur(TK) (DT), E. Kottaipatti, Tamil Nadu 625535"
Perumal patti
"Sindupatti, Tamil Nadu 625529"
"Eachampatti, Veppanuthu, Tamil Nadu 625529"
"Kanniyampatti, Tamil Nadu 625529"
"A.Pudupatti, Pottulupatti, Tamil Nadu 625529"
"Kattakaruppanpatti, Tamil Nadu"
"Uchapatti, Tamil Nadu 625529"
"Ariyapatti, Tamil Nadu 625529"
"Naattamangalam, Tamil Nadu 625529"
"Puthur, Sikkampatti, Tamil Nadu 625532"
"Kuppanampatti, Tamil Nadu"
"Valandur, Tamil Nadu"
"Chellampatty, Tamil Nadu"
"Kannanur, Tamil Nadu 625514"
"Checkanurani, Tamil Nadu 625514"
"Vadapalanji, Tamil Nadu"
"Nagamalai Puthukottai, Tamil Nadu 625019"
"Kallandhiri, Tamil Nadu 625301"
"Mathur, Tamil Nadu 625301"
"Arumbanur, Tamil Nadu 625104"
"Pudupatti, Tamil Nadu 625107"
" Otthakadai, Tamil Nadu 625107"
"Uthangudi, Tamil Nadu"
"Sukkampatti, Tamil Nadu 625101"
"Vanjipatti, Tamil Nadu 625101"
"Vanjinagaram, Tamil Nadu 625101"
"Kachirayanpatti, Tamil Nadu 625105"
"Kottampatty, Tamil Nadu 625103"
"Attappatti, Tamil Nadu 625108"
"Thumbaipatti, Tamil Nadu"
"Soorakkundu, Tamil Nadu 625106"
"Therkku Theru, Tamil Nadu 625122"
"Pungankulam, Tamil Nadu 625706"
"Urappanur, Tamil Nadu"
"Mela Urapanur, Tamil Nadu 625706"
"Kannan Temple, MDR954, Urappanur, Tamil Nadu 625706"
"Karadikal, Tamil Nadu"
"Govt Kallar Ele. School Sorikkampatti, Sorikkampatti,, Tamil Nadu"
"K.Pudupatti, Madurai, Tamil Nadu"
"Thenpalanji, Tamil Nadu 625021"
