from,to,time
"Kanniyāmpatti, Salem, Tamil Nadu, India","A.Pudupatti, Pottulupatti, Tamil Nadu 625529",15025
"Kanniyāmpatti, Salem, Tamil Nadu, India","Kattakaruppanpatti, Usilampatti, Tamil Nadu, India",14675
"Kanniyāmpatti, Salem, Tamil Nadu, India","Uchapatti, Tirumangalam, Tamil Nadu, India",13470
"Kanniyāmpatti, Salem, Tamil Nadu, India","Ariyapatti, Usilampatti, Tamil Nadu, India",14345
"Kanniyāmpatti, Salem, Tamil Nadu, India","Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India",7537
"Kanniyāmpatti, Salem, Tamil Nadu, India","Kuppanampatti, Tamil Nadu",8726
"Kanniyāmpatti, Salem, Tamil Nadu, India","Valandur, Tamil Nadu",14352
"Kanniyāmpatti, Salem, Tamil Nadu, India","Chellampatty, Tamil Nadu",8726
"Kanniyāmpatti, Salem, Tamil Nadu, India","Kannanur, Tamil Nadu 625514",13564
"Kanniyāmpatti, Salem, Tamil Nadu, India","Checkanurani, Tamil Nadu 625514",13475
"Kanniyāmpatti, Salem, Tamil Nadu, India","Vadapalanji, Tamil Nadu",13338
"Kanniyāmpatti, Salem, Tamil Nadu, India","Nagamalai Puthukottai, Tamil Nadu 625019",12993
"Kanniyāmpatti, Salem, Tamil Nadu, India","Kallandhiri, Tamil Nadu 625301",14130
"Kanniyāmpatti, Salem, Tamil Nadu, India","Mathur, Tamil Nadu 625301",14412
"Kanniyāmpatti, Salem, Tamil Nadu, India","Arumbanur, Tamil Nadu 625104",14553
"Kanniyāmpatti, Salem, Tamil Nadu, India","Pudupatti, Tamil Nadu 625107",14474
"Kanniyāmpatti, Salem, Tamil Nadu, India","Otthakadai, Tamil Nadu 625107",14558
"Kanniyāmpatti, Salem, Tamil Nadu, India","Uthangudi, Tamil Nadu",14693
"Kanniyāmpatti, Salem, Tamil Nadu, India","Sukkampatti, Tamil Nadu 625101",13786
"Kanniyāmpatti, Salem, Tamil Nadu, India","Vanjipatti, Tamil Nadu 625101",13786
"Kanniyāmpatti, Salem, Tamil Nadu, India","Vanjinagaram, Tamil Nadu 625101",14032
"Kanniyāmpatti, Salem, Tamil Nadu, India","Kachirayanpatti, Tamil Nadu 625105",14171
"Kanniyāmpatti, Salem, Tamil Nadu, India","Kottampatty, Tamil Nadu 625103",13596
"Kanniyāmpatti, Salem, Tamil Nadu, India","Attappatti, Tamil Nadu 625108",14568
